FRAME_NUMBER,TIME_FPS,TIME_PROCESS,TIME_PHYSICS_PROCESS,MEMORY_STATIC,MEMORY_DYNAMIC,MEMORY_STATIC_MAX,MEMORY_DYNAMIC_MAX,MEMORY_MESSAGE_BUFFER_MAX,OBJECT_COUNT,OBJECT_RESOURCE_COUNT,OBJECT_NODE_COUNT,OBJECT_ORPHAN_NODE_COUNT,RENDER_OBJECTS_IN_FRAME,RENDER_VERTICES_IN_FRAME,RENDER_MATERIAL_CHANGES_IN_FRAME,RENDER_SHADER_CHANGES_IN_FRAME,RENDER_SURFACE_CHANGES_IN_FRAME,RENDER_DRAW_CALLS_IN_FRAME,RENDER_2D_ITEMS_IN_FRAME,RENDER_2D_DRAW_CALLS_IN_FRAME,RENDER_VIDEO_MEM_USED,RENDER_TEXTURE_MEM_USED,RENDER_VERTEX_MEM_USED,RENDER_USAGE_VIDEO_MEM_TOTAL,PHYSICS_2D_ACTIVE_OBJECTS,PHYSICS_2D_COLLISION_PAIRS,PHYSICS_2D_ISLAND_COUNT,PHYSICS_3D_ACTIVE_OBJECTS,PHYSICS_3D_COLLISION_PAIRS,PHYSICS_3D_ISLAND_COUNT,AUDIO_OUTPUT_LATENCY,
68,60,0,0,52759448,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13325,9,0,0,0,0,
69,60,0,0,52756488,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13328,9,0,0,0,0,
70,60,0,0,52755168,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13325,9,0,0,0,0,
71,60,0,0,52756208,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13327,9,0,0,0,0,
72,60,0,0,52755056,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13326,9,0,0,0,0,
73,60,0,0,52755168,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13326,9,0,0,0,0,
74,60,0,0,52756944,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13328,9,0,0,0,0,
75,60,0,0,52761888,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13326,9,0,0,0,0,
76,60,0,0,52760360,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13325,9,0,0,0,0,
77,60,0,0,52759248,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13324,9,0,0,0,0,
78,60,0,0,52760232,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13325,9,0,0,0,0,
79,60,0,0,52754728,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13328,9,0,0,0,0,
80,60,0,0,52762984,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13325,9,0,0,0,0,
81,60,0,0,52766208,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13324,9,0,0,0,0,
82,60,0,0,52766144,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13324,9,0,0,0,0,
83,60,0,0,52766256,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13324,9,0,0,0,0,
84,60,0,0,52766112,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13324,9,0,0,0,0,
85,60,0,0,52759720,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13325,9,0,0,0,0,
86,60,0,0,52751880,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,38,11253764,11253764,0,0,9,13323,9,0,0,0,0,
87,60,0,0,52751128,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,36,11253764,11253764,0,0,9,13323,9,0,0,0,0,
88,60,0,0,52751952,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,36,11253764,11253764,0,0,9,13324,9,0,0,0,0,
89,60,0,0,52751152,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,36,11253764,11253764,0,0,9,13322,9,0,0,0,0,
90,60,0,0,52751520,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,36,11253764,11253764,0,0,9,13324,9,0,0,0,0,
91,60,0,0,52750824,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,23,36,11253764,11253764,0,0,9,13323,9,0,0,0,0,
92,60,0,0,52750768,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,24,37,11253764,11253764,0,0,9,13323,9,0,0,0,0,
93,60,0,0,52746184,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,24,37,11253764,11253764,0,0,9,13328,9,0,0,0,0,
